,Date of Funding Event,Event ID,Event Type,Funding in USD,Target Company ID,countries,clusters,Target Name,isProfileOrganization,Quarter of Funding Event,Year of Funding Event
13,#########,"(u'e08157aa-2b62-42a9-bb96-9d8320801ed6',)",Private Investment,1000000,b99b3662-c0e1-4b96-9cc3-0d996e4de24a,Czech Republic,"Invoices, Medium businesses, Cash flow, Receipts",Trivi,TRUE,3,2017
14,#########,"(u'ec96dbbb-2a1f-4c76-a3a2-f4c507c95621',)",Private Investment,0,ae6fe18c-d7ec-b96b-9b09-2a9e864a6e28,United States,"Equity, Technology startups, Mentorship, Platform for startups",CUJO AI,TRUE,4,2018
15,#########,"(u'7eaabdda-f429-4bdf-94d5-2d2c0fd24639',)",Private Investment,8499994,ae6fe18c-d7ec-b96b-9b09-2a9e864a6e28,United States,"Equity, Technology startups, Mentorship, Platform for startups",CUJO AI,TRUE,2,2017
16,#########,"(u'8ee569a7-f14e-3030-7a79-ac446e9063b4',)",Private Investment,0,ae6fe18c-d7ec-b96b-9b09-2a9e864a6e28,United States,"Equity, Technology startups, Mentorship, Platform for startups",CUJO AI,TRUE,2,2015
17,#########,"(u'089ba2e3-4fb8-4ce6-9c0e-168bd01ef80b',)",Private Investment,0,ae6fe18c-d7ec-b96b-9b09-2a9e864a6e28,United States,"Equity, Technology startups, Mentorship, Platform for startups",CUJO AI,TRUE,2,2018
18,#########,"(u'340ddcba-b3e4-41f8-a3a7-da24be62c470',)",Private Investment,730363,cdd6e5dc-e563-e5f0-5ca1-3c893b55158e,France,"Medical device, Surgical, Blood, Cardiac",holi,TRUE,4,2016
19,#########,"(u'cc115855-7067-4053-ab41-ce67d8042ccd',)",Private Investment,954498,cdd6e5dc-e563-e5f0-5ca1-3c893b55158e,France,"Medical device, Surgical, Blood, Cardiac",holi,TRUE,4,2016
20,#########,"(u'48389dc5-3486-2456-a767-5391cc992f45',)",Private Investment,100000,3b34fbad-8945-1c82-8a38-a427cccf2e5a,United States,"Insurtech, Insurance industry, Underwriting, Insurance products",UrbanStat,TRUE,1,2016
21,#########,"(u'2c07ec7f-27a3-0724-ccd1-d1bd7e44ba2d',)",Private Investment,500000,3b34fbad-8945-1c82-8a38-a427cccf2e5a,United States,"Insurtech, Insurance industry, Underwriting, Insurance products",UrbanStat,TRUE,2,2017
22,#########,"(u'131c7612-3c27-4457-848f-3cfde1707e6c',)",Private Investment,1000000,721228d4-8175-489c-a0ad-4b93ffd31b8a,United States,"Student, Edtech, Children, Career",EdSights,TRUE,1,2019
23,#########,"(u'8d946281-076e-4bed-a46f-31e71eba266b',)",Private Investment,1128749,d39a61fb-7f4c-4632-aef1-888d4ff4c177,United Kingdom,"Facial, Face recognition, Law enforcement, Video surveillance",GoodVision,TRUE,3,2019
24,#########,"(u'deb6607b-a057-4564-bf42-d799c9c84319',)",Private Investment,500000,81cb49ce-7366-45a9-bb36-aa27cecc2580,Canada,"Drone, Satellite, Unmanned, Remote sensing",Paladin.ai,TRUE,3,2018
25,#########,"(u'e1b5e7bd-8e20-4ee8-8656-69c6aebe5d73',)",Private Investment,300000,81cb49ce-7366-45a9-bb36-aa27cecc2580,Canada,"Drone, Satellite, Unmanned, Remote sensing",Paladin.ai,TRUE,1,2017
26,#########,"(u'36fe9230-1fbc-413c-807f-86ddf595dd8c',)",Private Investment,0,374fe985-c8e0-ec89-7543-a04a493cd9a2,Poland,"Recruiting, Candidate, Hiring process, Recruiters",ChallengeRocket,TRUE,3,2019
27,#########,"(u'b8132383-b27b-41f1-ab7b-70ab2b1bc139',)",Private Investment,700000,374fe985-c8e0-ec89-7543-a04a493cd9a2,Poland,"Recruiting, Candidate, Hiring process, Recruiters",ChallengeRocket,TRUE,1,2018
28,#########,"(u'dbbac70c-8c0f-4f24-9b2a-46413ea80310',)",Private Investment,1200000,12a49bee-3d93-8acc-084f-73e5a8547225,Russia,"Insurtech, Insurance industry, Underwriting, Insurance products",ZEN.CAR,TRUE,2,2019
29,#########,"(u'30aef977-cc1c-23e0-4cff-2cc5f6121f4b',)",Private Investment,0,12a49bee-3d93-8acc-084f-73e5a8547225,Russia,"Insurtech, Insurance industry, Underwriting, Insurance products",ZEN.CAR,TRUE,2,2016
30,#########,"(u'cacf196e-d10f-4563-98ae-92c802268e42',)",Private Investment,1800000,0e1619f8-3d3c-48e4-4e9c-9790bcadd025,United States,"Sql, Hadoop, Python, Data preparation",Vyasa Analytics,TRUE,3,2018
31,#########,"(u'a869d379-af71-4679-a3ba-3c6415969f60',)",Private Investment,738000,88919857-e816-0702-77f8-2c765ae26860,Finland,"Advertisers, Programmatic, Mobile advertising, Real time bidding",Thirdpresence,TRUE,4,2010
32,#########,"(u'b7f2da42-ee64-dcf1-7d83-1910c3577852',)",Private Investment,800000,88919857-e816-0702-77f8-2c765ae26860,Finland,"Advertisers, Programmatic, Mobile advertising, Real time bidding",Thirdpresence,TRUE,2,2012
33,#########,"(u'ca63f865-0b63-4ef7-be28-461e4d44666a',)",Private Investment,930000,88919857-e816-0702-77f8-2c765ae26860,Finland,"Advertisers, Programmatic, Mobile advertising, Real time bidding",Thirdpresence,TRUE,4,2016
34,#########,"(u'fc542b8f-2e68-41e6-9fd5-de01a3512ba2',)",Private Investment,910000,88919857-e816-0702-77f8-2c765ae26860,Finland,"Advertisers, Programmatic, Mobile advertising, Real time bidding",Thirdpresence,TRUE,1,2017
35,#########,"(u'31518868-5291-4550-8378-4fb416a9f4cd',)",Private Investment,2400000,88919857-e816-0702-77f8-2c765ae26860,Finland,"Advertisers, Programmatic, Mobile advertising, Real time bidding",Thirdpresence,TRUE,1,2018
36,#########,"(u'3a51d76e-aea6-42eb-902c-37f3503eb97b',)",Private Investment,150000,88919857-e816-0702-77f8-2c765ae26860,Finland,"Advertisers, Programmatic, Mobile advertising, Real time bidding",Thirdpresence,TRUE,4,2012
37,#########,"(u'ae720861-b04c-f7ba-1610-d7497529396e',)",Private Investment,1200000,b4fc70cb-a6ff-7bb7-2a8f-a7f0a05df840,United States,"Wi fi, Indoor, Wifi, Lights",Bloom Intelligence,TRUE,2,2017
38,#########,"(u'565121100',)",Private Investment,1070000,6c9ef7ddd77d6ae9ed4477cd3100513b,United States,"Crypto, Wealth management, Traders, Cryptocurrency",Cen Inc.,TRUE,2,2018
39,#########,"(u'918f1feb-8236-47d7-9aaf-e12cd6abfcf5',)",Private Investment,14527071,4735418e-e555-4801-91ad-7470b47672d7,China,"Speech recognition, Musical, Podcasts, Songs",Neolix,TRUE,2,2019
40,#########,"(u'22a3e305-abae-3b01-269f-05b9888f7736',)",Private Investment,600000,0257b5a2-3936-b763-2187-dfc1ad035567,United States,"Autonomous vehicles, Fleet, Road, Autonomous driving",ParkWise,TRUE,1,2016
41,#########,"(u'9a3548ff-a4bb-eb68-f634-9c187e8d4a1e',)",Private Investment,0,0257b5a2-3936-b763-2187-dfc1ad035567,United States,"Autonomous vehicles, Fleet, Road, Autonomous driving",ParkWise,TRUE,2,2015
42,#########,"(u'53c041ed-a2f6-4746-8753-3e8327cfabbe',)",Private Investment,0,0257b5a2-3936-b763-2187-dfc1ad035567,United States,"Autonomous vehicles, Fleet, Road, Autonomous driving",ParkWise,TRUE,4,2018
43,#########,"(u'a2bb13a1-296d-4c89-8ce6-ed4677c95ef2',)",Private Investment,300000,0257b5a2-3936-b763-2187-dfc1ad035567,United States,"Autonomous vehicles, Fleet, Road, Autonomous driving",ParkWise,TRUE,2,2018
44,#########,"(u'2c72848e-831a-a129-d776-0eb53647b037',)",Private Investment,100000,0257b5a2-3936-b763-2187-dfc1ad035567,United States,"Autonomous vehicles, Fleet, Road, Autonomous driving",ParkWise,TRUE,1,2017
45,#########,"(u'a1aee67d-7662-4667-9e60-f27c09101c10',)",Private Investment,0,0257b5a2-3936-b763-2187-dfc1ad035567,United States,"Autonomous vehicles, Fleet, Road, Autonomous driving",ParkWise,TRUE,4,2016
46,#########,"(u'f1fab3e8-307d-b4a2-1d59-78a2b9278008',)",Private Investment,480000,3d6e6934-ff76-e8c2-6e8c-518068602c14,United States,"Energy management, Buildings, Renewable, Electricity",CALM Energy,TRUE,4,2011
47,#########,"(u'c0c776cc-8886-41a7-888c-d3b8ce0d096a',)",Private Investment,3000000,2818662f-bce8-4ad4-93f0-b729b262860e,Israel,"Agriculture, Farmers, Farming, Crop",SupPlant,TRUE,3,2018
48,#########,"(u'd96a4ce6-1372-4e7d-b674-9612ef6f2714',)",Private Investment,500000,97b9e888-edb4-61f0-0104-39f2ec62657c,Israel,"Influencer, Social media marketing, Content marketing, Advertisers",Humanz,TRUE,1,2018
49,#########,"(u'1e99eb06-9999-4b6c-84f7-377e47b55d20',)",Private Investment,100000,97b9e888-edb4-61f0-0104-39f2ec62657c,Israel,"Influencer, Social media marketing, Content marketing, Advertisers",Humanz,TRUE,1,2017
50,#########,"(u'af0b4bfb-bdcb-4052-89dd-8315e562aaa9',)",Private Investment,559059,c60da151-ec27-6092-4978-142c4e7bab13,United Kingdom,"Ecommerce, Marketing automation, Shoppers, Retail technology",Mercanto,TRUE,2,2017
51,#########,"(u'a04d3bd8-d916-4599-8d75-88353b7be98d',)",Private Investment,200000,c60da151-ec27-6092-4978-142c4e7bab13,United Kingdom,"Ecommerce, Marketing automation, Shoppers, Retail technology",Mercanto,TRUE,4,2018
52,#########,"(u'deb5ff85-b7f3-04c3-830b-9150ee48dcb5',)",Private Investment,500000,dc6f31d7-cc70-dcdf-02dd-cac95248db08,Singapore,"Food and beverage, Kitchen, Grocery, Food delivery",Zimplistic,TRUE,4,2010
53,#########,"(u'63ad712d-d594-ff35-14a2-f1fb82e35700',)",Private Investment,15000000,dc6f31d7-cc70-dcdf-02dd-cac95248db08,Singapore,"Food and beverage, Kitchen, Grocery, Food delivery",Zimplistic,TRUE,3,2015
54,#########,"(u'82239c6a-729e-bb3f-b05b-ce18b98c9120',)",Private Investment,3000000,dc6f31d7-cc70-dcdf-02dd-cac95248db08,Singapore,"Food and beverage, Kitchen, Grocery, Food delivery",Zimplistic,TRUE,1,2012
55,#########,"(u'de26d93d-e81c-4703-9c4e-2435b7c90677',)",Private Investment,30000000,dc6f31d7-cc70-dcdf-02dd-cac95248db08,Singapore,"Food and beverage, Kitchen, Grocery, Food delivery",Zimplistic,TRUE,2,2018
56,#########,"(u'74c89ace-ae9a-d4d5-35be-a1b7dec6bcca',)",Private Investment,1200000,31826c45-8838-d10e-a298-591ebeb8bd1a,United States,"Meetings, Sales automation, Prospects, Sales teams",SocialMatters.ai,TRUE,1,2015
57,#########,"(u'9420fc8a-f80b-4b38-bf97-02d79e5810e1',)",Private Investment,3763832,4f460ae9-e82c-9330-8fa7-5e365215dc9e,Denmark,"Fraud detection, Merchants, Laundering, Personal finance",Puut A/S,TRUE,2,2012
58,#########,"(u'bf46cc3e-20f3-4a4e-b4fc-5036e077ad24',)",Private Investment,1160110,4f460ae9-e82c-9330-8fa7-5e365215dc9e,Denmark,"Fraud detection, Merchants, Laundering, Personal finance",Puut A/S,TRUE,4,2017
59,#########,"(u'93160ed7-e4a9-4f21-a234-ee35b17fbdd4',)",Private Investment,1200000,1c170ad9-65c4-43fa-b3b7-e5e3e558005e,0,"Food and beverage, Kitchen, Grocery, Food delivery",Minnow,TRUE,2,2018
60,#########,"(u'2b0b2606-868b-46cf-895e-a15a34385c12',)",Private Investment,5000000,b84237bc-b4f8-829f-6c6f-0fad27d6155d,United States,"Topics, Video content, Readers, Personalized content",ModelSquared™,TRUE,1,2018
61,#########,"(u'2faffa71-7833-d184-205a-63027c42ffbc',)",Private Investment,500000,b84237bc-b4f8-829f-6c6f-0fad27d6155d,United States,"Topics, Video content, Readers, Personalized content",ModelSquared™,TRUE,3,2017
62,#########,"(u'5cd097bf-d849-4d00-9af5-241278e7e9e9',)",Private Investment,2000000,98250087-11e3-4d12-80af-9c8c75a82ad7,United States,"Bots, Chatbots, Conversational ai, Messenger",SIMPLIFY REALITY INC.,TRUE,4,2018
63,#########,"(u'a8df5fac-acc4-4ab4-b1a4-dba9bccc42f0',)",Private Investment,150000,98250087-11e3-4d12-80af-9c8c75a82ad7,United States,"Bots, Chatbots, Conversational ai, Messenger",SIMPLIFY REALITY INC.,TRUE,3,2017
64,#########,"(u'e13f13d2-e924-436e-8276-1dc7d5c1c024',)",Private Investment,1121284,3251439d-2b7b-8c3b-145f-1015dc833d65,Austria,"Threat, Network security, Cybersecurity, Security solutions",nymea.io,TRUE,2,2017
65,#########,"(u'2720b0bf-ab6e-2719-8d26-d11659c58faa',)",Private Investment,2459548,d7c80710-3077-3aaa-8a74-c6a9fea6935a,Brazil,"Sentiment, Customer feedback, Employee experience, Text analytics",Spring Global,TRUE,4,2009
66,#########,"(u'0c84f7e9-51f9-4d12-e3c8-faaf2b98b219',)",Private Investment,6000000,d7c80710-3077-3aaa-8a74-c6a9fea6935a,Brazil,"Sentiment, Customer feedback, Employee experience, Text analytics",Spring Global,TRUE,1,2013
67,#########,"(u'32c90b3d-9b0e-5414-0298-d349470c971e',)",Private Investment,6700000,d7c80710-3077-3aaa-8a74-c6a9fea6935a,Brazil,"Sentiment, Customer feedback, Employee experience, Text analytics",Spring Global,TRUE,4,2016
68,#########,"(u'd5e6e295-ecbf-5372-23c0-6dc3ca03b95a',)",Private Investment,10250000,d7c80710-3077-3aaa-8a74-c6a9fea6935a,Brazil,"Sentiment, Customer feedback, Employee experience, Text analytics",Spring Global,TRUE,2,2012
69,#########,"(u'b15f581d-d592-d0a4-5303-fe0c9a323f63',)",Private Investment,12000000,d7c80710-3077-3aaa-8a74-c6a9fea6935a,Brazil,"Sentiment, Customer feedback, Employee experience, Text analytics",Spring Global,TRUE,2,2010
70,#########,"(u'1819469d-2a15-ef2d-617a-645c58aa6033',)",Private Investment,6341501,d7c80710-3077-3aaa-8a74-c6a9fea6935a,Brazil,"Sentiment, Customer feedback, Employee experience, Text analytics",Spring Global,TRUE,2,2010
71,#########,"(u'64cc6036-ff2d-6ec8-b05f-302c8eb97aea',)",Private Investment,0,e101c7a6-2f2f-57d4-dd88-0a1f383ddcbb,United States,"Ecommerce, Marketing automation, Shoppers, Retail technology",Trendalytics Innovation Labs,TRUE,1,2014
72,#########,"(u'8980724b-8ebc-46cf-b170-04b2f07c1c1c',)",Private Investment,3000000,e101c7a6-2f2f-57d4-dd88-0a1f383ddcbb,United States,"Ecommerce, Marketing automation, Shoppers, Retail technology",Trendalytics Innovation Labs,TRUE,4,2017
73,#########,"(u'4dd86698-2a30-4ed8-a0a5-7239b86279f9',)",Private Investment,0,e101c7a6-2f2f-57d4-dd88-0a1f383ddcbb,United States,"Ecommerce, Marketing automation, Shoppers, Retail technology",Trendalytics Innovation Labs,TRUE,2,2015
74,#########,"(u'422f7b66-69b4-1e56-e050-e3caaf13f588',)",Private Investment,0,e101c7a6-2f2f-57d4-dd88-0a1f383ddcbb,United States,"Ecommerce, Marketing automation, Shoppers, Retail technology",Trendalytics Innovation Labs,TRUE,1,2016
75,#########,"(u'0b15c48b-6837-673b-8335-b946a32301f6',)",Private Investment,0,e101c7a6-2f2f-57d4-dd88-0a1f383ddcbb,United States,"Ecommerce, Marketing automation, Shoppers, Retail technology",Trendalytics Innovation Labs,TRUE,1,2015
76,#########,"(u'241dea0c-b036-8e27-48b4-d0478c296bbb',)",Private Investment,40000,e101c7a6-2f2f-57d4-dd88-0a1f383ddcbb,United States,"Ecommerce, Marketing automation, Shoppers, Retail technology",Trendalytics Innovation Labs,TRUE,1,2013
77,#########,"(u'bb5d4f43-bd33-48cf-9131-f0e9a80535ab',)",Private Investment,43415968,f0744a20-8857-48e2-a1ff-37340c36a712,China,"Semiconductor, Chips, Processors, Low power",Suiyuan Technology,TRUE,2,2019
78,#########,"(u'ffa25d1e-b239-4315-9972-b6d6ee3a0155',)",Private Investment,49762894,f0744a20-8857-48e2-a1ff-37340c36a712,China,"Semiconductor, Chips, Processors, Low power",Suiyuan Technology,TRUE,3,2018
79,#########,"(u'67f88304-9149-498b-9679-71a739016c84',)",Private Investment,1514402,f0744a20-8857-48e2-a1ff-37340c36a712,China,"Semiconductor, Chips, Processors, Low power",Suiyuan Technology,TRUE,1,2018
80,#########,"(u'562850276',)",Private Investment,0,9b69069d810d548331729f26a9529633,China,"Facial, Face recognition, Law enforcement, Video surveillance",Bailian Inteliigence,TRUE,2,2018
81,#########,"(u'628930127',)",Private Investment,7261004,9b69069d810d548331729f26a9529633,China,"Facial, Face recognition, Law enforcement, Video surveillance",Bailian Inteliigence,TRUE,3,2019
82,#########,"(u'c008b4f2-2836-4631-b838-9975c98b0b4d',)",Private Investment,11393505,8b24db74-ef1a-4589-2999-080be34624b7,Netherlands,"Fashion, Visual search, Shoes, Apparel",Safesize,TRUE,1,2019
83,#########,"(u'f72e789d-4835-bb78-b4b1-8441886c905d',)",Private Investment,3125976,8b24db74-ef1a-4589-2999-080be34624b7,Netherlands,"Fashion, Visual search, Shoes, Apparel",Safesize,TRUE,4,2016
84,#########,"(u'663d053a-9168-4da7-a6b9-fc3c3c096c8c',)",Private Investment,0,8b24db74-ef1a-4589-2999-080be34624b7,Netherlands,"Fashion, Visual search, Shoes, Apparel",Safesize,TRUE,3,2012
85,#########,"(u'9763a8a3-a0be-17a3-cd15-bad4f5045c9a',)",Private Investment,1500000,59cfff16-65c3-a97e-b2c0-327d5e2d5b0a,United States,"Influencer, Social media marketing, Content marketing, Advertisers",Open Influence,TRUE,1,2015
86,#########,"(u'50fa8659-da26-afba-f6a6-9e8645912bd7',)",Private Investment,2500000,59cfff16-65c3-a97e-b2c0-327d5e2d5b0a,United States,"Influencer, Social media marketing, Content marketing, Advertisers",Open Influence,TRUE,1,2015
87,#########,"(u'24e6f3a1-2a48-4e4b-8016-8d6f0a0febaf',)",Private Investment,300000,e6562b6a-5189-444c-a3a3-b661fef26457,United States,"Sentiment, Customer feedback, Employee experience, Text analytics",Superb AI,TRUE,3,2018
88,#########,"(u'26449b74-d135-4798-94bf-9b51469c3dda',)",Private Investment,1500000,e6562b6a-5189-444c-a3a3-b661fef26457,United States,"Sentiment, Customer feedback, Employee experience, Text analytics",Superb AI,TRUE,1,2019
89,#########,"(u'b6285d2a-a944-49a2-ae1b-b29b25e2ca11',)",Private Investment,35973,ca92493c-d6e0-48ee-a5c1-8110ba6d9dcb,Italy,"Gas, Predictive maintenance, Industrial automation, Machinery",AI Parts,TRUE,2,2018
90,#########,"(u'9c8e50d5-bead-4fbb-9037-01b810a5e6ad',)",Private Investment,816793,ca92493c-d6e0-48ee-a5c1-8110ba6d9dcb,Italy,"Gas, Predictive maintenance, Industrial automation, Machinery",AI Parts,TRUE,2,2018
91,#########,"(u'813f4e3c-ed1a-4528-86ca-abf306aea388',)",Private Investment,30000000,199446e8-363e-4cc1-8c69-3786caeb18ad,China,"Doctors, Hospital, Physicians, Medication",Huimei Technology,TRUE,3,2019
92,#########,"(u'821f52a3-5c87-33ef-b468-4a938b09777c',)",Private Investment,1250000,fd75bd9b-813f-2d45-ce69-89a8b28cb22a,United Kingdom,"Student, Edtech, Children, Career",Oxademy Technologies,TRUE,4,2016
93,#########,"(u'a6f55b72-15d4-b04b-b3fd-dd63ac733176',)",Private Investment,1500000,8c7b7bb5-a56b-007d-833a-9d51bb682cf1,United States,"Crypto, Wealth management, Traders, Cryptocurrency",Numerai,TRUE,2,2016
94,#########,"(u'464be442-71b1-954e-edaf-5f4cd3566d3e',)",Private Investment,6000000,8c7b7bb5-a56b-007d-833a-9d51bb682cf1,United States,"Crypto, Wealth management, Traders, Cryptocurrency",Numerai,TRUE,4,2016
95,#########,"(u'a372e414-93e7-4458-b4cd-b0fe99900796',)",Private Investment,0,8c7b7bb5-a56b-007d-833a-9d51bb682cf1,United States,"Crypto, Wealth management, Traders, Cryptocurrency",Numerai,TRUE,2,2018
96,#########,"(u'138dd69b-1a6d-4857-8c4d-bcd7fccfff19',)",Private Investment,0,8c7b7bb5-a56b-007d-833a-9d51bb682cf1,United States,"Crypto, Wealth management, Traders, Cryptocurrency",Numerai,TRUE,2,2019
97,#########,"(u'80c74639-e9ee-4dba-b141-3e34b3e4f61d',)",Private Investment,11000000,8c7b7bb5-a56b-007d-833a-9d51bb682cf1,United States,"Crypto, Wealth management, Traders, Cryptocurrency",Numerai,TRUE,1,2019
98,#########,"(u'ea6e8d58-6527-26c3-f248-220bd6bcdd0f',)",Private Investment,750000,43e4efbb-4ce0-0b30-3c70-3ff261176e74,United States,"Quantum, Quantum computing technologies, Applications for quantum, Simulation of quantum",WaveAcid Inc.,TRUE,1,2016
99,#########,"(u'dcccc2c9-efcc-551d-ef50-55c7991d5b0a',)",Private Investment,100000,43e4efbb-4ce0-0b30-3c70-3ff261176e74,United States,"Quantum, Quantum computing technologies, Applications for quantum, Simulation of quantum",WaveAcid Inc.,TRUE,1,2016
100,#########,"(u'8414b6db-63ac-4ede-9e63-45f2dea6129c',)",Private Investment,158039,43e4efbb-4ce0-0b30-3c70-3ff261176e74,United States,"Quantum, Quantum computing technologies, Applications for quantum, Simulation of quantum",WaveAcid Inc.,TRUE,1,2017
101,#########,"(u'4bd0736a-796e-1fb4-9c24-a03ab77b7a93',)",Private Investment,650000,c4cf6d5c-a7f6-9d8e-c713-b22d33ca3103,United States,"Influencer, Social media marketing, Content marketing, Advertisers",Verifeed,TRUE,3,2016
102,#########,"(u'631764068',)",Private Investment,608542,d5a30657d35608a187e5353949ba9444,Spain,"Industrial automation, Ai robotics, Mobile robot, Warehouse management",Inloc Robotics SL,TRUE,3,2019
103,#########,"(u'69abbad8-ce18-4c63-af6d-33fa4a47b882',)",Private Investment,400000,a4053c62-a53b-0f3a-68d2-7eeae6d4373c,India,"Doctors, Hospital, Physicians, Medication",Wysa,TRUE,1,2016
104,#########,"(u'b7f88a59-b25b-84f1-df86-4a7d54209a4a',)",Private Investment,1300000,a4053c62-a53b-0f3a-68d2-7eeae6d4373c,India,"Doctors, Hospital, Physicians, Medication",Wysa,TRUE,3,2017
105,#########,"(u'2f8af99d-77ac-4333-a71e-c84277c9c115',)",Private Investment,2157626,a4053c62-a53b-0f3a-68d2-7eeae6d4373c,India,"Doctors, Hospital, Physicians, Medication",Wysa,TRUE,2,2019
106,#########,"(u'9502c059-8125-02e4-60c1-8debbd26338f',)",Private Investment,500000,a9b3e05e-c29d-108a-5307-73c8aacdf709,United States,"Energy management, Buildings, Renewable, Electricity",pikazo,TRUE,1,2016
107,#########,"(u'576011525',)",Private Investment,15000000,34259d15b78050ab7057ea65dd45daef,Canada,"Drug, Cancer, Therapy, Genomic",RadiomicsAI,TRUE,3,2018
108,#########,"(u'5a7d1d5b-ebdf-f9ad-423e-bc1c91510b27',)",Private Investment,4400000,95963a9d-877b-65f6-3c72-574ddff8b8e8,Japan,"Wellness, Wearable, Fitness, Emotions",LifeRobotics,TRUE,4,2015
109,#########,"(u'a80c0727-f8de-3a1e-2c83-bd5a94930c1e',)",Private Investment,9027992,95963a9d-877b-65f6-3c72-574ddff8b8e8,Japan,"Wellness, Wearable, Fitness, Emotions",LifeRobotics,TRUE,4,2016
110,#########,"(u'f8f6389c-7d29-3c11-f38a-98ff5c53f1fd',)",Private Investment,1000000,2c346c9c-cbe4-2bd4-e42d-cbce48eac831,Portugal,"Ecommerce, Marketing automation, Shoppers, Retail technology",Liquid,TRUE,2,2014
111,#########,"(u'546091628',)",Private Investment,3050902,d54f39f8443543478b00a3ebaf51a9d1,United States,"Medical device, Surgical, Blood, Cardiac",Iowa Precision Robotics Ltd.,TRUE,4,2017
112,#########,"(u'3939db3c-6104-47a8-93ad-14c6473e6e98',)",Private Investment,0,876614a9-a540-474d-a146-146b10ea9abe,Canada,"Medical device, Surgical, Blood, Cardiac",Kardian Autonomous Health Monitoring,TRUE,2,2018
113,#########,"(u'55606ca3-342d-4d16-8e32-cf57a16fee65',)",Private Investment,650000,876614a9-a540-474d-a146-146b10ea9abe,Canada,"Medical device, Surgical, Blood, Cardiac",Kardian Autonomous Health Monitoring,TRUE,4,2017
114,#########,"(u'bc630304-0462-47bc-be14-6c48661b8a76',)",Private Investment,400000,8d842dfd-85c6-4b6a-9db3-84d4da49fc03,United States,"Recruiting, Candidate, Hiring process, Recruiters",Newton Labs,TRUE,2,2018
115,#########,"(u'36b8c4bc-4577-aa14-e391-7f9ca6a2e090',)",Private Investment,0,9c2ab593-cce2-239c-0447-f7304a035e7a,India,"Ecommerce, Marketing automation, Shoppers, Retail technology",Zepo,TRUE,4,2014
